Title,Author,Goodreads Rating
Swimming Pool Sunday,Sophie Kinsella,3.28
No Greater Love,Danielle Steel,3.95
The Secret of Nagas,Amish,4.02
The Promise,Danielle Steel,4.34
The House on Hope Street,Danielle Steel,3.87
A pelican at Blandings,P G Wodehouse,4.17
The Sands of Time,Sidney Sheldon,3.74
Cat and Mouse,james Patterson,3.98
The Night of January 16th,Ayn Rand,3.59
Emmas Secret,Barbara Taylor Bradford,3.75
Six Graves to munich,Mario Puzo,3.57
How Opal Mehta got kissed Got Wild and Got a life,Kaavya Vishwanathan,2.82
The Host,Stephenie Meyer,3.84
The short second life of bree tanner,Stephenie Meyer,3.5
The Immortals Of Meluha,Amish,4.05
eragon,Christopher Paolini,3.88
How to win friends and influence people,Dale Carnegie,4.18
The promise - Golden Moments,Danielle Steel,3.71
No Body's Perfect,Kimberly Kirberger,3.98
Pendragon,D.J MacHale,3.94
Macbeth,Shakespeare-Oxford School,3.89
It's all relative -Wizards of Waverly Place,-,4.2
Rescue - Josh msGuire,Ben Mikaelsen,3.92
The Secret Pilgrim,John Le Carre,3.94
The Secret Seven - Secret Seven Mystery,Enid Blyton,3.88
Tell Me Your Dreams,Sidney Sheldon,3.94
7th Heaven,James Patterson,4.08
The Thief,Megan Whalen Turner,4.37
Kane and Abel,Jeffrey Archer,4.29
The Leader WHo had no title,Robin Sharma,3.93
Tinkle Vol 2 No 18,-,4.5
Stay Hungry Stay Foolish,Rashmi Bansal,3.65
Silent Witness,Richard North Patterson,3.77
The Rose and the warrior,Karyn Monk,3.95
The Sands of Time,Sidney Sheldon,3.74
Only Time Will Tell,Jeffrey Archer,4.07
Growing Up,Scharada Bail,3.94
Six Suspects,Vikas Swarup,3.54
Crooked House,Agatha Christie,4.01
Deadly Embrace,Jackie Collins,3.93
The Magical World of Harry Potter,David Colbert,4.03
Artemis Fowl and the Opal Deception,Eoin Colfer,4.05
